trans,date,qty,amount,refno,time,user,supplier,suppcode,remark,purposed,purpose
22106,02-Apr-19,236,11184.48,0000028909,,MARCIAL,"GARDENIA BAKERIES (PHILIPPINES), INC.",0214,104593,BAD ORDERS,1
22107,02-Apr-19,9,273.51,0000028910,,MARCIAL,"GARDENIA BAKERIES (PHILIPPINES), INC.",0214,104592,BAD ORDERS,1
22108,03-Apr-19,49,2183.18,0000028911,,MARCIAL,"GARDENIA BAKERIES (PHILIPPINES), INC.",0214,,BAD ORDERS,1
22151,04-Apr-19,504,27509.35,0000028917,,MARCIAL,"GARDENIA BAKERIES (PHILIPPINES), INC.",0214,104609,BAD ORDERS,1
22152,04-Apr-19,20,190.41,0000028918,,MARCIAL,"GARDENIA BAKERIES (PHILIPPINES), INC.",0214,104611,BAD ORDERS,1
22156,06-Apr-19,39,2367.42,0000028922,,MARCIAL,"GARDENIA BAKERIES (PHILIPPINES), INC.",0214,104626,BAD ORDERS,1
22157,09-Apr-19,11,331.26,0000028923,,MARCIAL,"GARDENIA BAKERIES (PHILIPPINES), INC.",0214,140634,BAD ORDERS,1
22162,11-Apr-19,65,2233.8,0000028928,,MARCIAL,"GARDENIA BAKERIES (PHILIPPINES), INC.",0214,104655,BAD ORDERS,1
22167,13-Apr-19,55,3335.57,0000028933,,MARCIAL,"GARDENIA BAKERIES (PHILIPPINES), INC.",0214,104664,BAD ORDERS,1
22172,16-Apr-19,12,280.73,0000028938,,MARCIAL,"GARDENIA BAKERIES (PHILIPPINES), INC.",0214,104674,BAD ORDERS,1
22173,18-Apr-19,63,3745.23,0000028939,,MARCIAL,"GARDENIA BAKERIES (PHILIPPINES), INC.",0214,104685,BAD ORDERS,1
22176,22-Apr-19,19,545.2,0000028942,,MARCIAL,"GARDENIA BAKERIES (PHILIPPINES), INC.",0214,104688,BAD ORDERS,1
22178,23-Apr-19,2,72.24,0000028944,,MARCIAL,"GARDENIA BAKERIES (PHILIPPINES), INC.",0214,104692,BAD ORDERS,1
22182,25-Apr-19,115,1688.76,0000028948,,MARCIAL,"GARDENIA BAKERIES (PHILIPPINES), INC.",0214,,BAD ORDERS,1
22183,25-Apr-19,191,9631.97,0000028949,,MARCIAL,"GARDENIA BAKERIES (PHILIPPINES), INC.",0214,104703,BAD ORDERS,1
22188,27-Apr-19,52,2594.51,0000028954,,MARCIAL,"GARDENIA BAKERIES (PHILIPPINES), INC.",0214,104711,BAD ORDERS,1
22190,30-Apr-19,10,321.29,0000028956,,MARCIAL,"GARDENIA BAKERIES (PHILIPPINES), INC.",0214,104717,BAD ORDERS,1
21901,09-Jan-19,374,13801.45,0000028761,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
21908,12-Jan-19,19,638.35,0000028768,,ANGELA C,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
21910,16-Jan-19,9,420.75,0000028770,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
21917,19-Jan-19,100,3469.28,0000028777,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,93024,BAD ORDERS,1
21929,25-Jan-19,31,1221.45,0000028789,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
21932,26-Jan-19,40,1516.83,0000028792,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
21958,02-Feb-19,31,1317.5,0000028801,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
21971,02-Feb-19,17,631.76,0000028803,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
21976,06-Feb-19,52,2024.28,0000028808,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
21979,09-Feb-19,125,4406.83,0000028811,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
21985,13-Feb-19,80,2701.94,0000028817,,MARIZ DC.,GOLDENRISE FOOD CORPORATION,0620,94878,BAD ORDERS,1
21998,16-Feb-19,81,2816.05,0000028829,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,94900,BAD ORDERS,1
21999,20-Feb-19,57,2101.63,0000028830,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
22008,27-Feb-19,61,2176.21,0000028839,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
22017,27-Feb-19,53,1925.89,0000028848,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
22022,06-Mar-19,109,3712.38,0000028853,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
22029,08-Mar-19,16,795.6,0000028860,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
22045,09-Mar-19,87,3154.35,0000028876,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
22076,13-Mar-19,69,2597.18,0000028879,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
22079,16-Mar-19,99,3957.3,0000028882,,ANGELA C,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
22085,20-Mar-19,40,1539.35,0000028888,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,98557,BAD ORDERS,1
22091,23-Mar-19,88,3300.76,0000028894,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
22095,27-Mar-19,74,2663.69,0000028898,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
22102,30-Mar-19,90,3293.54,0000028905,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
22146,03-Apr-19,79,2948.65,0000028912,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
22154,06-Apr-19,57,2278.85,0000028920,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
22160,10-Apr-19,73,2466.7,0000028926,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
22165,13-Apr-19,86,3632.9,0000028931,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,100045,BAD ORDERS,1
22169,17-Apr-19,69,2533,0000028935,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
22181,24-Apr-19,100,3715.35,0000028947,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,,BAD ORDERS,1
22187,29-Apr-19,45,1753.55,0000028953,,MARCIAL,GOLDENRISE FOOD CORPORATION,0620,101586,BAD ORDERS,1
21972,06-Feb-19,5,1131,0000028804,,MARCIAL,LARA'S GEN. MDSE.,0345,104312,BAD ORDERS,1
22030,05-Mar-19,6,954,0000028861,,MARCIAL,LARA'S GEN. MDSE.,0345,104456,BAD ORDERS,1
22147,02-Apr-19,3,201,0000028913,,MARCIAL,LARA'S GEN. MDSE.,0345,104594,BAD ORDERS,1
22191,30-Apr-19,2,287.5,0000028957,,MARCIAL,LARA'S GEN. MDSE.,0345,104722,BAD ORDERS,1
21986,16-Feb-19,1,113.5,0000028818,,MARCIAL,LEMJEN MARKETING,0694,,BAD ORDERS,1
21893,05-Jan-19,255,9269.1,0000028756,,ANGELA C,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
21900,08-Jan-19,67,2612.25,0000028760,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,2497229,BAD ORDERS,1
21903,10-Jan-19,36,1385.55,0000028763,,ANGELA C,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
21906,12-Jan-19,46,1741.05,0000028766,,ANGELA C,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
21911,16-Jan-19,25,1046.25,0000028771,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
21915,17-Jan-19,39,1994.85,0000028775,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
21916,19-Jan-19,31,1257.75,0000028776,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
21923,22-Jan-19,4,515.7,0000028783,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
21924,22-Jan-19,28,1223.1,0000028784,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
21926,24-Jan-19,36,1548.9,0000028786,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
21933,28-Jan-19,53,2031.53,0000028793,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
21937,30-Jan-19,34,1307.03,0000028797,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
21956,02-Feb-19,23,877.73,0000028799,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
21970,02-Feb-19,50,1926,0000028802,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
21973,05-Feb-19,39,1518.3,0000028805,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
21978,09-Feb-19,46,1762.65,0000028810,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
21983,09-Feb-19,49,2114.06,0000028815,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
21984,12-Feb-19,30,1250.78,0000028816,,MARIZ DC.,MARBY FOOD VENTURES CORPORATION,0243,2524350,BAD ORDERS,1
21988,14-Feb-19,58,2462.4,0000028820,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22001,21-Feb-19,50,2332.8,0000028832,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,2530899,BAD ORDERS,1
22002,19-Jan-19,37,1558.8,0000028833,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,2530894,BAD ORDERS,1
22005,23-Feb-19,42,2098.58,0000028836,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22018,26-Feb-19,47,2054.7,0000028849,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,2532092,BAD ORDERS,1
22023,28-Feb-19,67,2579.85,0000028854,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22027,02-Mar-19,51,2211.53,0000028858,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22032,05-Mar-19,47,1959.75,0000028863,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22033,09-Mar-19,37,1796.4,0000028864,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,2548201,BAD ORDERS,1
22034,09-Mar-19,58,2515.5,0000028865,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,2548227,BAD ORDERS,1
22042,12-Mar-19,38,1545.3,0000028873,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22080,16-Mar-19,49,1929.6,0000028883,,ANGELA C,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22082,19-Mar-19,54,2112.75,0000028885,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22087,21-Mar-19,42,1895.85,0000028890,,ANGELA C,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22092,23-Mar-19,53,2533.25,0000028895,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22096,26-Mar-19,79,3294.9,0000028899,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22098,28-Mar-19,56,2334.6,0000028901,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22103,01-Apr-19,21,1037.03,0000028906,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22148,05-Apr-19,50,2150.33,0000028914,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22153,06-Apr-19,37,1728.68,0000028919,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22158,09-Apr-19,52,2207.7,0000028924,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22161,11-Apr-19,44,1895.18,0000028927,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22166,13-Apr-19,57,2236.95,0000028932,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22168,15-Apr-19,38,1640.48,0000028934,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22170,17-Apr-19,42,1941.98,0000028936,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22175,20-Apr-19,45,2034.45,0000028941,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22179,23-Apr-19,50,2498.4,0000028945,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22184,25-Apr-19,16,843.53,0000028950,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22186,27-Apr-19,39,1664.1,0000028952,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
22189,30-Apr-19,57,2371.95,0000028955,,MARCIAL,MARBY FOOD VENTURES CORPORATION,0243,,BAD ORDERS,1
21989,12-Feb-19,3,308.7,0000028821,,MARCIAL,MARBY FOOD VENTURES CORPORATION (FROZEN),0596,,BAD ORDERS,1
22024,28-Feb-19,7,779.4,0000028855,,MARCIAL,MARBY FOOD VENTURES CORPORATION (FROZEN),0596,,BAD ORDERS,1
22088,21-Mar-19,12,1471.5,0000028891,,ANGELA C,MARBY FOOD VENTURES CORPORATION (FROZEN),0596,,BAD ORDERS,1
22164,11-Apr-19,11,1301.85,0000028930,,MARCIAL,MARBY FOOD VENTURES CORPORATION (FROZEN),0596,147409,BAD ORDERS,1
22171,17-Apr-19,8,795.38,0000028937,,MARCIAL,MARBY FOOD VENTURES CORPORATION (FROZEN),0596,,BAD ORDERS,1
21904,12-Jan-19,1,24,0000028764,,MARCIAL,MERCEDITA'S BAKESHOP,0076,,BAD ORDERS,1
21920,21-Jan-19,1,35,0000028780,,MARCIAL,MERCEDITA'S BAKESHOP,0076,,BAD ORDERS,1
21987,15-Feb-19,3,72,0000028819,,MARCIAL,MERCEDITA'S BAKESHOP,0076,,BAD ORDERS,1
21993,20-Feb-19,1,24,0000028824,,MARCIAL,MERCEDITA'S BAKESHOP,0076,,BAD ORDERS,1
22021,06-Mar-19,4,118,0000028852,,MARCIAL,MERCEDITA'S BAKESHOP,0076,,BAD ORDERS,1
22044,13-Mar-19,2,70,0000028875,,MARCIAL,MERCEDITA'S BAKESHOP,0076,,BAD ORDERS,1
22074,15-Mar-19,7,234,0000028877,,MARCIAL,MERCEDITA'S BAKESHOP,0076,,BAD ORDERS,1
22084,20-Mar-19,4,107,0000028887,,MARCIAL,MERCEDITA'S BAKESHOP,0076,,BAD ORDERS,1
22094,27-Mar-19,1,24,0000028897,,MARCIAL,MERCEDITA'S BAKESHOP,0076,,BAD ORDERS,1
22159,10-Apr-19,1,35,0000028925,,MARCIAL,MERCEDITA'S BAKESHOP,0076,,BAD ORDERS,1
22180,24-Apr-19,1,24,0000028946,,MARCIAL,MERCEDITA'S BAKESHOP,0076,,BAD ORDERS,1
22100,29-Mar-19,17,1326,0000028903,,MARCIAL,OPTIPRIME DISTRIBUTION CORPORATION,0634,,BAD ORDERS,1
21897,07-Jan-19,10,357.73,0000028758,,MARCIAL,"QUANTA PAPER MARKETING, INC.",0617,104170,BAD ORDERS,1
21996,13-Feb-19,102,2980.58,0000028827,,MARCIAL,REPUBLIC BISCUIT CORPORATION,0091,104363,BAD ORDERS,1
21905,12-Jan-19,170,5523.52,0000028765,,MARCIAL,RMFM TRADING,0509,104191,BAD ORDERS,1
21930,24-Jan-19,46,2708.43,0000028790,,MARCIAL,RMFM TRADING,0509,104269,BAD ORDERS,1
21994,07-Feb-19,81,2614.39,0000028825,,MARCIAL,RMFM TRADING,0509,104824,BAD ORDERS,1
22011,21-Feb-19,172,5982.31,0000028842,,MARCIAL,RMFM TRADING,0509,104397,BAD ORDERS,1
22041,11-Mar-19,42,1436.21,0000028872,,MARCIAL,RMFM TRADING,0509,,BAD ORDERS,1
22090,22-Mar-19,15,451.9,0000028893,,MARCIAL,RMFM TRADING,0509,42697,BAD ORDERS,1
22155,04-Apr-19,112,4411.69,0000028921,,MARCIAL,RMFM TRADING,0509,104614,BAD ORDERS,1
22174,20-Apr-19,162,5547.18,0000028940,,MARCIAL,RMFM TRADING,0509,104686,BAD ORDERS,1
21892,04-Jan-19,6,415.14,0000028755,,MARCIAL,SF JUNFEL MARKETING,0489,,BAD ORDERS,1
21995,07-Feb-19,37,370,0000028826,,MARIZ DC.,SF JUNFEL MARKETING,0489,59913,BAD ORDERS,1
21888,04-Jan-19,5,543.4,0000028751,,MARCIAL,"SFP KARLA'S MARKETING, INC.",0488,,BAD ORDERS,1
21921,22-Jan-19,2,759.05,0000028781,,MARCIAL,"SFP KARLA'S MARKETING, INC.",0488,104229,BAD ORDERS,1
21931,26-Jan-19,1,117.8,0000028791,,MARCIAL,"SFP KARLA'S MARKETING, INC.",0488,148752,BAD ORDERS,1
21981,09-Feb-19,5,520.61,0000028813,,MARCIAL,"SFP KARLA'S MARKETING, INC.",0488,,BAD ORDERS,1
22012,22-Feb-19,1,128.73,0000028843,,MARCIAL,"SFP KARLA'S MARKETING, INC.",0488,,BAD ORDERS,1
22031,09-Mar-19,1,117.8,0000028862,,MARCIAL,"SFP KARLA'S MARKETING, INC.",0488,149825,BAD ORDERS,1
22040,01-Mar-19,6,475.01,0000028871,,MARCIAL,"SFP KARLA'S MARKETING, INC.",0488,104434,BAD ORDERS,1
22150,05-Apr-19,3,207.1,0000028916,,MARCIAL,"SFP KARLA'S MARKETING, INC.",0488,104622,BAD ORDERS,1
21925,21-Jan-19,31,2239,0000028785,,MARCIAL,"TJN PASALUBONG FOODS, INC.",0142,,BAD ORDERS,1
22013,18-Feb-19,10,557,0000028844,,MARCIAL,"TJN PASALUBONG FOODS, INC.",0142,,BAD ORDERS,1
22177,22-Apr-19,13.4,633.2,0000028943,,MARCIAL,"TJN PASALUBONG FOODS, INC.",0142,,BAD ORDERS,1
21889,05-Jan-19,6,94.08,0000028752,,MARCIAL,"VALUE CHAIN SOLUTIONS, INC.",0295,43080,BAD ORDERS,1
21890,05-Jan-19,46,500.49,0000028753,,MARCIAL,"VALUE CHAIN SOLUTIONS, INC.",0295,43079,BAD ORDERS,1
